Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,mintemp,maxtemp,avgtemp
2015-05-20,946.25,947.25,936.5,940.5,5.0,941.25,92951.0,352951.0,52.83403361344538,74.62394957983193,63.89705882352941
2015-05-19,953.25,956.0,942.0,947.0,8.25,946.25,118985.0,356614.0,55.0377358490566,75.43815513626835,64.97693920335429
2015-05-18,953.25,964.5,950.0,954.0,1.25,954.5,88257.0,357550.0,58.01052631578948,77.29473684210527,67.22315789473684
2015-05-15,957.25,961.25,950.25,952.75,3.75,953.25,93072.0,360217.0,58.476890756302524,76.84243697478992,66.60924369747899
2015-05-14,957.5,962.25,953.0,957.0,0.25,957.0,98198.0,365150.0,53.92,75.46736842105263,64.02947368421053
2015-05-13,974.5,978.5,970.5,975.0,8.0,975.0,1399.0,1299.0,52.53991596638655,72.87605042016807,62.65126050420168
2015-05-12,982.0,991.25,967.0,969.0,16.0,967.0,1362.0,2366.0,54.25157232704402,74.11740041928721,64.00628930817611
2015-05-11,983.0,989.0,981.5,983.0,1.5,983.0,1315.0,3410.0,56.379958246346554,75.18997912317327,65.37995824634656
2015-05-08,982.75,986.25,977.75,984.5,3.0,984.5,1693.0,4093.0,57.23640167364017,78.14435146443515,67.22175732217573
2015-05-07,990.5,992.5,979.25,981.5,9.0,981.5,2962.0,5117.0,57.14884696016772,79.76939203354297,68.31236897274633
2015-05-06,993.25,1000.5,988.25,990.5,3.0,990.5,2303.0,6390.0,56.930817610062896,79.06498951781971,67.51781970649895
2015-05-05,982.5,994.5,981.5,993.5,10.5,993.5,2787.0,7840.0,54.69519832985386,78.24843423799582,66.66597077244259
2015-05-04,968.0,984.0,966.75,983.0,14.5,983.0,3946.0,10287.0,52.69957983193277,78.21428571428571,65.89495798319328
2015-05-01,979.75,980.5,964.5,966.0,10.0,968.5,5905.0,13871.0,46.319327731092436,72.85714285714286,59.686974789915965
2015-04-30,989.0,997.25,975.0,978.5,10.0,978.5,13856.0,18964.0,45.9895178197065,72.69811320754717,59.36687631027254
2015-04-29,977.0,989.75,974.0,988.0,11.0,988.5,51617.0,38283.0,44.79245283018868,70.8993710691824,57.9559748427673
2015-04-28,972.0,988.5,972.0,977.0,4.5,977.5,77960.0,57783.0,44.48739495798319,67.48109243697479,56.07773109243698
2015-04-27,968.0,979.0,965.0,972.5,3.25,973.0,62778.0,72606.0,45.75890985324948,67.45283018867924,56.878406708595385
2015-04-24,978.0,981.0,966.75,968.0,8.5,969.75,61608.0,109417.0,46.054621848739494,67.55672268907563,56.785714285714285
2015-04-23,971.25,983.0,971.0,977.0,7.75,978.25,82360.0,120913.0,44.70315789473684,66.56421052631579,55.63578947368421
2015-04-22,973.75,976.5,965.25,970.0,4.75,970.5,107593.0,138943.0,43.81856540084388,67.17932489451476,55.765822784810126
2015-04-21,976.75,977.0,968.75,974.0,2.25,975.25,67681.0,148971.0,44.09263157894737,65.61263157894737,55.04631578947368
2015-04-20,968.0,981.0,967.5,977.0,8.75,977.5,108842.0,170762.0,47.71518987341772,65.42194092827005,56.83966244725738
2015-04-17,965.25,972.5,963.0,968.5,2.75,968.75,90111.0,181989.0,52.780590717299575,73.56118143459915,62.64978902953587
2015-04-16,964.0,970.25,955.5,964.0,1.0,966.0,89590.0,210049.0,51.31645569620253,70.27215189873418,60.42827004219409
2015-04-15,959.25,976.75,958.75,964.5,4.75,965.0,154854.0,235582.0,50.68421052631579,71.0357894736842,60.61052631578947
2015-04-14,948.75,961.5,948.5,959.5,11.5,960.25,141580.0,261498.0,51.6764705882353,71.96848739495799,61.88025210084034
2015-04-13,948.0,957.5,945.75,949.0,2.75,948.75,103240.0,273410.0,52.10294117647059,72.01050420168067,62.29831932773109
2015-04-10,954.0,958.5,944.5,951.5,2.0,951.5,125165.0,280951.0,48.03361344537815,70.26050420168067,59.05672268907563
2015-04-09,971.25,972.0,950.25,955.5,18.0,953.5,169506.0,281257.0,52.109243697478995,71.98949579831933,61.747899159663866
2015-04-08,971.0,975.0,967.75,971.25,0.5,971.5,107951.0,290388.0,52.911764705882355,70.66176470588235,60.91386554621849
2015-04-07,977.75,984.0,970.0,971.0,7.5,971.0,107166.0,292860.0,52.696016771488466,69.27253668763103,60.16352201257862
2015-04-06,985.0,990.25,978.0,978.0,7.5,978.5,59766.0,301337.0,47.30736842105263,67.29052631578948,56.57052631578947
2015-04-02,988.0,993.0,980.75,984.0,3.75,986.0,99735.0,311987.0,48.44234800838574,71.03563941299791,59.85115303983228
2015-04-01,973.25,991.75,972.75,987.5,16.5,989.75,152669.0,321453.0,47.10504201680672,72.94327731092437,59.575630252100844
2015-03-31,967.0,981.0,951.25,974.0,5.5,973.25,163325.0,322399.0,43.65106382978723,72.87446808510639,58.31276595744681
2015-03-30,968.0,976.75,965.0,969.0,0.5,967.75,79634.0,325585.0,42.01918976545842,68.08955223880596,54.52025586353945
2015-03-27,974.0,976.25,965.0,968.0,7.25,967.25,92651.0,324777.0,33.09615384615385,55.63247863247863,44.86965811965812
2015-03-26,977.0,981.5,972.0,974.5,4.25,974.5,100902.0,326466.0,40.32051282051282,60.32051282051282,50.98931623931624
2015-03-25,982.75,987.75,978.0,978.0,3.0,978.75,112380.0,325879.0,44.282051282051285,64.61752136752136,53.88461538461539
2015-03-24,983.75,985.0,975.75,981.0,1.75,981.75,88820.0,328924.0,40.437100213219615,63.10021321961621,51.23667377398721
2015-03-23,974.5,990.0,973.25,982.5,9.75,983.5,97433.0,327656.0,39.93816631130064,60.62686567164179,49.82942430703625
2015-03-20,961.75,980.0,960.0,971.0,12.0,973.75,125399.0,332392.0,42.70575692963752,60.940298507462686,50.921108742004265
2015-03-19,969.25,980.25,956.5,961.0,3.25,961.75,109707.0,335980.0,42.11727078891258,57.86140724946695,49.405117270788914
2015-03-18,954.5,967.0,953.5,965.5,10.5,965.0,102268.0,334115.0,40.85042735042735,59.30128205128205,49.495726495726494
2015-03-17,968.0,973.0,953.5,957.0,14.75,954.5,112410.0,325696.0,42.140724946695094,66.01492537313433,55.05117270788912
2015-03-16,972.5,978.0,967.5,969.25,4.75,969.25,82341.0,322484.0,42.10234541577825,72.88912579957356,57.29637526652452
2015-03-13,990.25,994.0,972.5,975.0,16.5,974.0,120189.0,318767.0,44.251063829787235,61.38936170212766,52.47021276595745
2015-03-12,989.0,992.5,981.75,985.25,2.5,986.5,778.0,848.0,44.014925373134325,65.09808102345416,54.272921108742004
2015-03-11,979.0,991.0,979.0,985.0,9.0,989.0,842.0,1252.0,44.46808510638298,65.91489361702128,54.61489361702127
2015-03-10,987.5,989.0,978.0,980.0,8.5,980.0,1136.0,2127.0,43.45435244161359,63.80891719745223,52.78131634819533
2015-03-09,983.0,993.5,981.5,988.5,9.0,988.5,1714.0,2483.0,39.3312101910828,59.8067940552017,49.08704883227176
2015-03-06,979.0,980.5,971.0,979.0,9.0,979.5,3310.0,3774.0,18.86780383795309,45.59914712153518,31.396588486140725
2015-03-05,990.0,991.5,979.0,979.5,9.5,979.5,3383.0,5558.0,17.335456475583864,44.07218683651805,31.411889596602972
